iter	Passed	Remaining
604	3810	2487
605	3813	2479
606	3816	2471
607	3820	2463
608	3823	2454
609	3826	2446
610	3829	2438
611	3832	2429
612	3835	2421
613	3838	2412
614	3841	2404
615	3844	2396
616	3847	2388
617	3851	2380
618	3854	2372
619	3857	2364
620	3860	2355
621	3863	2348
622	3867	2340
623	3870	2332
624	3873	2323
625	3876	2315
626	3879	2307
627	3882	2299
628	3885	2291
629	3889	2284
630	3892	2276
631	3896	2268
632	3899	2261
633	3903	2253
634	3906	2245
635	3909	2237
636	3912	2229
637	3916	2222
638	3919	2214
639	3922	2206
640	3926	2198
641	3928	2190
642	3931	2183
643	3934	2175
644	3937	2167
645	3941	2159
646	3943	2151
647	3947	2144
648	3950	2136
649	3953	2128
650	3956	2121
651	3959	2113
652	3962	2105
653	3965	2097
654	3969	2090
655	3972	2082
656	3975	2075
657	3978	2067
658	3981	2060
659	3985	2052
660	3988	2045
661	3992	2038
662	3995	2031
663	3999	2023
664	4002	2016
665	4005	2008
666	4008	2001
667	4011	1993
668	4014	1986
669	4017	1978
670	4021	1971
671	4024	1964
672	4027	1956
673	4030	1949
674	4033	1942
675	4036	1934
676	4039	1927
677	4042	1919
678	4045	1912
679	4049	1905
680	4052	1898
681	4055	1891
682	4058	1883
683	4061	1876
684	4064	1868
685	4067	1861
686	4070	1854
687	4073	1847
688	4076	1840
689	4079	1832
690	4082	1825
691	4086	1818
692	4089	1811
693	4092	1804
694	4095	1797
695	4099	1790
696	4102	1783
697	4106	1776
698	4109	1769
699	4112	1762
700	4115	1755
701	4118	1748
702	4121	1741
703	4124	1734
704	4128	1727
705	4132	1720
706	4135	1713
707	4138	1706
708	4141	1699
709	4143	1692
710	4147	1685
711	4150	1678
712	4153	1671
713	4156	1664
714	4159	1657
715	4162	1650
716	4165	1644
717	4168	1637
718	4171	1630
719	4174	1623
720	4177	1616
721	4180	1609
722	4184	1603
723	4187	1596
724	4191	1589
725	4194	1583
726	4198	1576
727	4201	1569
728	4205	1563
729	4208	1556
730	4211	1549
731	4214	1542
732	4217	1536
733	4220	1529
734	4223	1522
735	4227	1516
736	4230	1509
737	4233	1502
738	4236	1496
739	4239	1489
740	4242	1482
741	4245	1476
742	4248	1469
743	4251	1462
744	4254	1456
745	4257	1449
746	4261	1443
747	4267	1437
748	4275	1432
749	4283	1427
750	4289	1422
751	4298	1417
752	4307	1413
753	4316	1408
754	4325	1403
755	4333	1398
756	4341	1393
757	4349	1388
758	4356	1383
759	4365	1378
760	4373	1373
761	4380	1368
762	4386	1362
763	4395	1357
764	4402	1352
765	4411	1347
766	4418	1342
767	4426	1337
768	4433	1331
769	4440	1326
770	4448	1321
771	4455	1315
772	4464	1311
773	4473	1306
774	4482	1301
775	4494	1297
776	4506	1293
777	4517	1289
778	4529	1284
779	4540	1280
780	4551	1276
781	4563	1272
782	4574	1267
783	4585	1263
784	4596	1258
785	4607	1254
786	4621	1250
787	4632	1246
788	4644	1242
789	4655	1237
790	4665	1232
791	4678	1228
792	4688	1223
793	4699	1219
794	4713	1215
795	4724	1210
796	4733	1205
797	4741	1200
798	4750	1195
799	4762	1190
800	4773	1185
801	4783	1180
802	4793	1176
803	4806	1171
804	4818	1167
805	4829	1162
806	4842	1158
807	4854	1153
808	4865	1148
809	4873	1143
810	4882	1137
811	4893	1132
812	4901	1127
813	4910	1122
814	4920	1117
815	4933	1112
816	4944	1107
817	4957	1102
818	4966	1097
819	4976	1092
820	4986	1087
821	4996	1082
822	5010	1077
823	5024	1073
824	5036	1068
825	5047	1063
826	5056	1057
827	5063	1051
828	5069	1045
829	5078	1040
830	5085	1034
831	5092	1028
832	5100	1022
833	5107	1016
834	5116	1010
835	5124	1005
836	5132	999
837	5140	993
838	5155	989
839	5166	984
840	5177	978
841	5185	973
842	5194	967
843	5204	962
844	5214	956
845	5222	950
846	5230	944
847	5236	938
848	5245	932
849	5251	926
850	5259	920
851	5266	914
852	5274	909
853	5281	903
854	5288	896
855	5295	890
856	5302	884
857	5312	879
858	5320	873
859	5330	867
860	5345	862
861	5356	857
862	5364	851
863	5373	845
864	5380	839
865	5390	834
866	5398	828
867	5406	822
868	5413	816
869	5420	809
870	5427	803
871	5435	797
872	5443	791
873	5451	785
874	5459	779
875	5467	773
876	5475	767
877	5484	762
878	5492	756
879	5500	750
880	5508	744
881	5517	738
882	5524	732
883	5532	725
884	5540	719
885	5547	713
886	5555	707
887	5562	701
888	5568	695
889	5575	689
890	5583	683
891	5590	676
892	5597	670
893	5605	664
894	5613	658
895	5620	652
896	5627	646
897	5635	640
898	5645	634
899	5654	628
900	5661	622
901	5669	615
902	5677	609
903	5686	603
904	5692	597
905	5699	591
906	5707	585
907	5716	579
908	5724	573
909	5732	566
910	5740	560
911	5748	554
912	5756	548
913	5764	542
914	5771	536
915	5780	530
916	5788	523
917	5796	517
918	5804	511
919	5813	505
920	5821	499
921	5829	493
922	5837	486
923	5844	480
924	5852	474
925	5861	468
926	5868	462
927	5877	456
928	5885	449
929	5893	443
930	5902	437
931	5910	431
932	5919	425
933	5926	418
934	5934	412
935	5942	406
936	5950	400
937	5958	393
938	5967	387
939	5974	381
940	5983	375
941	5991	368
942	5998	362
943	6006	356
944	6014	350
945	6022	343
946	6030	337
947	6038	331
948	6046	324
949	6053	318
950	6061	312
951	6069	306
952	6077	299
953	6086	293
954	6094	287
955	6103	280
956	6110	274
957	6118	268
958	6127	261
959	6135	255
960	6144	249
961	6153	243
962	6161	236
963	6169	230
964	6176	224
965	6186	217
966	6194	211
967	6203	205
968	6211	198
969	6219	192
970	6227	185
971	6235	179
972	6243	173
973	6252	166
974	6260	160
975	6268	154
976	6277	147
977	6285	141
978	6293	134
979	6301	128
980	6309	122
981	6317	115
982	6326	109
983	6335	103
984	6344	96
985	6352	90
986	6360	83
987	6368	77
988	6375	70
989	6382	64
990	6390	58
991	6398	51
992	6406	45
993	6414	38
994	6421	32
995	6431	25
996	6439	19
997	6447	12
998	6456	6
999	6463	0
